好む, thích
嫌う, ghét
願う, ước ; yêu cầu
甘える, nũng nịu
可愛がる, yêu mến
気付く, nhận ra
疑う, nghi ngờ
苦しむ, khổ; chịu đựng
悲しむ, buồn
がっかりする, thất vọng
励ます, động viên
うなずく, gật đầu
張り切る, hăm hở: làm việc chăm chỉ
威張る, kiêu ngạo
怒鳴る, hét lên
暴れる, nổi giận; bạo lực
しゃがむ, ngồi chơi; ngồi xổm
退く, làm tránh ra
退ける, tránh ra
被る, đội
被せる, phủ lên
齧る, nhai cắn
撃つ, bắn
漕ぐ, đạp xe
敷く, trải ra
次ぐ, đổ
配る, phân phát
放る, ném;bỏ mặc
掘る, đào; khai quật
撒く, rắc; rải
測る・計る・量る, đo đạc
占う, dự đoán bói
引っ張る, kéo
突く, chọc; đâm
突き当たる, đi hết đường
立ち止まる, dừng lại
近寄る, tiếp cận
横切る, băng qua
転ぶ, ngã
躓く, vấp ngã
ひく, chèn
おぼれる, chìm;đắm
痛む, đau
かかる, bị nhiễm



